relation_id,relation_type,source_id,target_id,rationale,origin,confidence,validity_state
DREL-B4E64DCA3888BAE4,applies_to,AST-FL-CSPSA-01,CFG-FL-01,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-B4F69ED8F500435D,applies_to,AST-FL-DENAN-01,CFG-FL-01,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-05F37FC509073F04,derives_from,EPR-FL-CSPSA-EVIDENCE-01,OBL-FL-CSPSA-01,EngineeringProjection.obligation_refs,ai_context_inference,medium,active
DREL-558B81BDC7EAB816,derives_from,EPR-FL-CSPSA-PROCESS-01,OBL-FL-CSPSA-01,EngineeringProjection.obligation_refs,ai_context_inference,medium,active
DREL-2B0B62FE5ADA4B5B,derives_from,EPR-FL-DENAN-EVIDENCE-01,OBL-FL-DENAN-01,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-69B86602EEF3B771,derives_from,EPR-FL-DENAN-EVIDENCE-02,OBL-FL-DENAN-02,EngineeringProjection.obligation_refs,ai_context_inference,medium,active
DREL-06126F38AD926A57,derives_from,EPR-FL-DENAN-PROCESS-01,OBL-FL-DENAN-02,EngineeringProjection.obligation_refs,ai_context_inference,medium,active
DREL-2CED77C3792E2E8F,derives_from,EPR-FL-DENAN-PRODUCT-01,OBL-FL-DENAN-01,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-6F7B978F6229A07F,derives_from,FLREQ-0001,FLNEED-0001,Requirement.source_need_refs,ai_context_inference,medium,active
DREL-6BFC2AEA2EE58017,derives_from,FLREQ-0002,FLNEED-0002,Requirement.source_need_refs,ai_context_inference,medium,active
DREL-27AC4C73CAE6D95D,derives_from,FLREQ-0004,FLNEED-0004,Requirement.source_need_refs,ai_context_inference,low,active
DREL-02B6ED49681A9363,derives_from,FLREQ-0006,FLNEED-0002,Requirement.source_need_refs,ai_context_inference,low,active
DREL-326B9A78BA66C3F3,derives_from,FLREQ-0008,FLNEED-0001,Requirement.source_need_refs,ai_context_inference,medium,active
DREL-ED7D3E9FF6E17687,derives_from,OBL-FL-CSPSA-01,NRM-JP-CSPSA-REPORT-01,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-089EA711B39C31A8,derives_from,OBL-FL-DENAN-01,NRM-JP-DENAN-TECH-01,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-E4A5787991737DDC,derives_from,OBL-FL-DENAN-02,NRM-JP-DENAN-INSPECT-01,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-6E19834C507B06EE,elicits,FLSTK-0001,FLNEED-0001,Need.stakeholder_refs,ai_context_inference,medium,active
DREL-1AA458EDEBA89AB2,elicits,FLSTK-0002,FLNEED-0002,Need.stakeholder_refs,ai_context_inference,medium,active
DREL-A59C5A975C54E62F,elicits,FLSTK-0004,FLNEED-0004,Need.stakeholder_refs,ai_context_inference,medium,active
DREL-81189A027986CAE2,performs,FLSTR-0001,FLBEH-0001,Structure.behavior_refs,ai_context_inference,medium,active
DREL-84102116ACC83303,performs,FLSTR-0001,FLBEH-0002,Structure.behavior_refs,ai_context_inference,medium,active
DREL-20E9CBF88B2C7C9E,performs,FLSTR-0001,FLBEH-0004,Structure.behavior_refs,ai_context_inference,medium,active
DREL-99C0FA58E85F070A,performs,FLSTR-0001,FLBEH-0006,Structure.behavior_refs,ai_context_inference,medium,active
DREL-8284220FB3FD9408,realizes,FLBEH-0001,FLREQ-0001,Behavior.requirement_refs,ai_context_inference,medium,active
DREL-3809FD70D5F5098E,realizes,FLBEH-0001,FLREQ-0008,Behavior.requirement_refs,ai_context_inference,medium,active
DREL-D2010B7E68952FC2,realizes,FLBEH-0002,FLREQ-0002,Behavior.requirement_refs,ai_context_inference,medium,active
DREL-2532C0D2A2BEC2FA,realizes,FLBEH-0004,FLREQ-0004,Behavior.requirement_refs,ai_context_inference,low,active
DREL-B7873965F60069BF,realizes,FLBEH-0006,FLREQ-0006,Behavior.requirement_refs,ai_context_inference,low,active
DREL-D19917197CB9B6CB,satisfies,FLSTR-0001,FLREQ-0001,Structure.requirement_refs,ai_context_inference,medium,active
DREL-E88214D31DFE02BD,satisfies,FLSTR-0001,FLREQ-0002,Structure.requirement_refs,ai_context_inference,medium,active
DREL-654FFE31D051CEA0,satisfies,FLSTR-0001,FLREQ-0004,Structure.requirement_refs,ai_context_inference,medium,active
DREL-7D5F475754A5BF50,satisfies,FLSTR-0001,FLREQ-0006,Structure.requirement_refs,ai_context_inference,medium,active
DREL-3B4580A83FCF949B,satisfies,FLSTR-0001,FLREQ-0008,Structure.requirement_refs,ai_context_inference,medium,active
DREL-C70D1A4D5FAE15B6,traces_to,APP-FL-CSPSA-01,NRM-JP-CSPSA-REPORT-01,ApplicabilityAssessment.normative_statement_refs,ai_context_inference,low,active
DREL-B97853938F1C9D20,traces_to,APP-FL-DENAN-01,NRM-JP-DENAN-INSPECT-01,ApplicabilityAssessment.normative_statement_refs,ai_context_inference,low,active
DREL-4A1BBFC43C231DDA,traces_to,APP-FL-DENAN-01,NRM-JP-DENAN-TECH-01,ApplicabilityAssessment.normative_statement_refs,ai_context_inference,low,active
DREL-5C9C89F9080490D7,traces_to,ASR-FL-CSPSA-01,AST-FL-CSPSA-01,AssessmentResult.assessment_activity_ref,ai_context_inference,medium,active
DREL-4ECD383002985938,traces_to,ASR-FL-DENAN-01,AST-FL-DENAN-01,AssessmentResult.assessment_activity_ref,ai_context_inference,medium,active
DREL-CBE565316CFB6761,traces_to,AST-FL-CSPSA-01,EVR-FL-CSPSA-REPORT-01,AssessmentActivity.planned_evidence_requirement_refs,ai_context_inference,low,active
DREL-74A934597F111EC1,traces_to,AST-FL-CSPSA-01,OBL-FL-CSPSA-01,AssessmentActivity.target_obligation_refs,ai_context_inference,low,active
DREL-704EDA57F49FC28E,traces_to,AST-FL-DENAN-01,EVR-FL-DENAN-INSPECT-01,AssessmentActivity.planned_evidence_requirement_refs,ai_context_inference,low,active
DREL-BB9F54A04B701A1C,traces_to,AST-FL-DENAN-01,EVR-FL-DENAN-TECH-01,AssessmentActivity.planned_evidence_requirement_refs,ai_context_inference,low,active
DREL-8FAB7070391980A3,traces_to,AST-FL-DENAN-01,OBL-FL-DENAN-01,AssessmentActivity.target_obligation_refs,ai_context_inference,low,active
DREL-C3F0CF9D7A0F31AF,traces_to,AST-FL-DENAN-01,OBL-FL-DENAN-02,AssessmentActivity.target_obligation_refs,ai_context_inference,low,active
DREL-4C363810A0EB9E30,traces_to,EPR-FL-CSPSA-EVIDENCE-01,EVR-FL-CSPSA-REPORT-01,EngineeringProjection.target_refs,ai_context_inference,medium,active
DREL-252E5674F3A8DEC0,traces_to,EPR-FL-CSPSA-PROCESS-01,PROC-FL-CSPSA-REPORTING,EngineeringProjection.target_refs,ai_context_inference,medium,active
DREL-14799BCFD5E673FB,traces_to,EPR-FL-DENAN-EVIDENCE-01,EVR-FL-DENAN-TECH-01,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-42FB4B9D77113E32,traces_to,EPR-FL-DENAN-EVIDENCE-02,EVR-FL-DENAN-INSPECT-01,EngineeringProjection.target_refs,ai_context_inference,medium,active
DREL-4592267575F81303,traces_to,EPR-FL-DENAN-PROCESS-01,PROC-FL-DENAN-INSPECTION,EngineeringProjection.target_refs,ai_context_inference,medium,active
DREL-D2BD7DD7DD301D94,traces_to,EPR-FL-DENAN-PRODUCT-01,ASSURE-FL-DENAN-CONFORMITY,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-04F0BF40CD658728,traces_to,EVR-FL-CSPSA-REPORT-01,OBL-FL-CSPSA-01,EvidenceRequirement.target_refs,external_candidate,medium,active
DREL-70BEDF374797D1D3,traces_to,EVR-FL-DENAN-INSPECT-01,OBL-FL-DENAN-02,EvidenceRequirement.target_refs,external_candidate,medium,active
DREL-E0FCE16A9DD0C600,traces_to,EVR-FL-DENAN-TECH-01,OBL-FL-DENAN-01,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-050B8B3CAF25C5BA,traces_to,EVR-FL-SE-01,FLREQ-0001,EvidenceRequirement.target_refs,ai_context_inference,medium,active
DREL-FD35BDB3897FB536,traces_to,EVR-FL-SE-01,FLREQ-0008,EvidenceRequirement.target_refs,ai_context_inference,medium,active
DREL-795216EB0D44507E,traces_to,EVR-FL-SE-02,FLREQ-0002,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-0C7DB5A8EC41FDD6,traces_to,EVR-FL-SE-04,FLREQ-0004,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-1AE73B4B5D3B33D7,traces_to,EVR-FL-SE-06,FLREQ-0006,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-CE32C302360336F1,traces_to,NRM-JP-CSPSA-REPORT-01,PRV-JP-CSPSA-35-1,NormativeStatement.provision_refs,external_candidate,medium,active
DREL-05B774B97A1580CE,traces_to,NRM-JP-CSPSA-REPORT-01,PRV-JP-CSPSA-ORDER-03-1,NormativeStatement.provision_refs,external_candidate,medium,active
