relation_id,relation_type,source_id,target_id,rationale,origin,confidence,validity_state
DREL-78D8266F1A3145B3,applies_to,AST-MB-001,CFG-MB-CANDIDATE,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-0CD75C56BFF4465C,applies_to,AST-MB-002,CFG-MB-CANDIDATE,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-10609F2DF6C2606E,applies_to,AST-MB-003,CFG-MB-CANDIDATE,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-4419AEEEAD5FB5A3,applies_to,AST-MB-004,CFG-MB-CANDIDATE,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-8E53E0251CC3E247,applies_to,AST-MB-005,CFG-MB-CANDIDATE,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-BDA1D520AE689087,derives_from,EPR-MB-001,OBL-MB-001,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-70EEA0A8BA43CDE8,derives_from,EPR-MB-002,OBL-MB-001,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-E51DDC3992397B96,derives_from,EPR-MB-003,OBL-MB-002,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-9F51EA79E19E1E1C,derives_from,EPR-MB-004,OBL-MB-002,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-1F76E5101416BD73,derives_from,EPR-MB-005,OBL-MB-003,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-26CF3B693488404F,derives_from,EPR-MB-006,OBL-MB-003,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-FC89A69832616D94,derives_from,EPR-MB-007,OBL-MB-003,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-C96C89E36B475FEB,derives_from,EPR-MB-008A,OBL-MB-004,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-9A2178FAC3664821,derives_from,EPR-MB-008B,OBL-MB-005,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-EFD5CE8481F4D6C0,derives_from,EPR-MB-008C,OBL-MB-006,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-85AE49B3934B678C,derives_from,EPR-MB-009,OBL-MB-004,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-2945FA7E292EEEB7,derives_from,EPR-MB-009,OBL-MB-005,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-EDA805900C80E6D0,derives_from,EPR-MB-009,OBL-MB-006,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-9711EF76F6BDC4BF,derives_from,EPR-MB-009A,OBL-MB-004,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-1CDB1521F312F355,derives_from,EPR-MB-009B,OBL-MB-005,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-80785F0D4B4B2C72,derives_from,EPR-MB-009C,OBL-MB-006,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-09EFD18CB2243390,derives_from,EPR-MB-010,OBL-MB-007,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-2164C1B5E958998A,derives_from,EPR-MB-011,OBL-MB-007,EngineeringProjection.obligation_refs,ai_context_inference,low,active
