relation_id,relation_type,source_id,target_id,rationale,origin,confidence,validity_state
DREL-26458A4B6149B292,applies_to,AST-CSPSA-0001,CFG-0001,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-8AA201AE5BDE298A,applies_to,AST-DENAN-0001,CFG-0001,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-3E611238492E1114,derives_from,EPR-CSPSA-0001,OBL-CSPSA-0001,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-B15F415F352B83DC,derives_from,EPR-CSPSA-0002,OBL-CSPSA-0001,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-D0C6EC7066086E1F,derives_from,EPR-CSPSA-0003,OBL-CSPSA-0001,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-3F83350F9E5C1C57,derives_from,EPR-DENAN-0001,OBL-DENAN-0001,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-5BBFFFAF2C1A7A19,derives_from,EPR-DENAN-0002,OBL-DENAN-0001,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-2467251531B53282,derives_from,OBL-CSPSA-0001,NRM-CSPSA-0001,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-106E6C28F34526EB,derives_from,OBL-DENAN-0001,NRM-DENAN-0001,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-EC1215AE409509B5,derives_from,REQ-0001,NEED-0001,Requirement.source_need_refs,ai_context_inference,medium,active
DREL-33D572732A576FE1,derives_from,REQ-0002,NEED-0002,Requirement.source_need_refs,ai_context_inference,low,active
DREL-94C59F80F21D4F93,derives_from,REQ-0003,NEED-0002,Requirement.source_need_refs,ai_context_inference,low,active
DREL-64D74BF97A8E4594,elicits,STK-0001,NEED-0001,Need.stakeholder_refs,ai_context_inference,medium,active
DREL-75EB8491A52836A1,elicits,STK-0001,NEED-0002,Need.stakeholder_refs,ai_context_inference,medium,active
DREL-DE22267BF8E5CAF2,performs,STR-0001,BEH-0001,Structure.behavior_refs,ai_context_inference,medium,active
DREL-00CDA281A1DDC201,performs,STR-0001,BEH-0002,Structure.behavior_refs,ai_context_inference,medium,active
DREL-32C8171030D42735,performs,STR-0001,BEH-0003,Structure.behavior_refs,ai_context_inference,medium,active
DREL-B3665DB230820FAF,realizes,BEH-0001,REQ-0001,Behavior.requirement_refs,ai_context_inference,medium,active
DREL-05E39EE9815811AB,realizes,BEH-0002,REQ-0002,Behavior.requirement_refs,ai_context_inference,low,active
DREL-0D7E2A9E904C87DA,realizes,BEH-0002,REQ-0003,Behavior.requirement_refs,ai_context_inference,low,active
DREL-13F7CDD67A61AB85,realizes,BEH-0003,REQ-0004,Behavior.requirement_refs,ai_context_inference,low,active
DREL-847B8C673939A357,satisfies,STR-0001,REQ-0001,Structure.requirement_refs,ai_context_inference,medium,active
DREL-482B42642C8F1707,satisfies,STR-0001,REQ-0002,Structure.requirement_refs,ai_context_inference,medium,active
DREL-4C2D705F7A203253,satisfies,STR-0001,REQ-0003,Structure.requirement_refs,ai_context_inference,medium,active
DREL-5A25B2903A355BAE,satisfies,STR-0001,REQ-0004,Structure.requirement_refs,ai_context_inference,medium,active
DREL-5B3EBBF6194A944A,traces_to,APP-CSPSA-0001,NRM-CSPSA-0001,ApplicabilityAssessment.normative_statement_refs,ai_context_inference,low,active
DREL-0F4FEFEA8874A03D,traces_to,APP-DENAN-0001,NRM-DENAN-0001,ApplicabilityAssessment.normative_statement_refs,ai_context_inference,low,active
DREL-C0105651BB121252,traces_to,ASR-CSPSA-0001,AST-CSPSA-0001,AssessmentResult.assessment_activity_ref,ai_context_inference,medium,active
DREL-2277040B5B97B101,traces_to,ASR-DENAN-0001,AST-DENAN-0001,AssessmentResult.assessment_activity_ref,ai_context_inference,medium,active
DREL-FB2BD058130B96A1,traces_to,AST-CSPSA-0001,EVR-CSPSA-0001,AssessmentActivity.planned_evidence_requirement_refs,ai_context_inference,low,active
DREL-5BE659333CD5E753,traces_to,AST-CSPSA-0001,OBL-CSPSA-0001,AssessmentActivity.target_obligation_refs,ai_context_inference,low,active
DREL-E785C3C885C913B3,traces_to,AST-DENAN-0001,EVR-DENAN-0001,AssessmentActivity.planned_evidence_requirement_refs,ai_context_inference,low,active
DREL-36EB541FE6656BA9,traces_to,AST-DENAN-0001,OBL-DENAN-0001,AssessmentActivity.target_obligation_refs,ai_context_inference,low,active
DREL-4F2F68358D66DA5A,traces_to,EPR-CSPSA-0001,PTGT-0001,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-9F0F108561BC1EF0,traces_to,EPR-CSPSA-0002,PTGT-0002,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-53D80BAEBDB3502E,traces_to,EPR-CSPSA-0003,EVR-CSPSA-0001,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-A234C64ED3B8C6CD,traces_to,EPR-DENAN-0001,REQ-0004,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-DD1C3678F6A0918A,traces_to,EPR-DENAN-0002,EVR-DENAN-0001,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-415742649A8130ED,traces_to,EVR-CSPSA-0001,OBL-CSPSA-0001,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-2244AD74CD83348D,traces_to,EVR-CSPSA-0001,PTGT-0001,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-5293B94A3CAB7D21,traces_to,EVR-CSPSA-0001,PTGT-0002,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-7F37CC2508AD0C84,traces_to,EVR-DENAN-0001,OBL-DENAN-0001,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-48334568B0371A58,traces_to,EVR-DENAN-0001,REQ-0004,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-C5102040DC93F5CA,traces_to,EVR-SE-0001,REQ-0001,EvidenceRequirement.target_refs,ai_context_inference,medium,active
DREL-76A3F0B72C48B738,traces_to,EVR-SE-0002,REQ-0002,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-11F51AFEA1CD3A74,traces_to,EVR-SE-0003,REQ-0003,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-FF0B43B6C86A56B0,traces_to,NRM-CSPSA-0001,PRV-CSPSA-0001,NormativeStatement.provision_refs,external_candidate,medium,active
DREL-910E451591B7E057,traces_to,NRM-DENAN-0001,PRV-DENAN-0001,NormativeStatement.provision_refs,external_candidate,low,active
DREL-5BFD9879C59F61C5,traces_to,OBL-CSPSA-0001,APP-CSPSA-0001,Obligation.applicability_refs,ai_context_inference,low,active
DREL-7FBA6BF14651E8C6,traces_to,OBL-DENAN-0001,APP-DENAN-0001,Obligation.applicability_refs,ai_context_inference,low,active
DREL-D8D00914610DA3BB,traces_to,PRV-CSPSA-0001,SRC-CSPSA,Provision.source_ref,ai_context_inference,medium,active
DREL-E14786F7611C3136,traces_to,PRV-DENAN-0001,SRC-DENAN,Provision.source_ref,ai_context_inference,medium,active
DREL-F0F9C3ECDAB4FFAE,traces_to,SRC-CSPSA,AUTH-CAA,Source.authority_refs,ai_context_inference,medium,active
DREL-08D2DB2DA76EEFCB,traces_to,SRC-DENAN,AUTH-METI,Source.authority_refs,ai_context_inference,medium,active
DREL-00BA6A4FBB40072D,traces_to,SRC-HQL,AUTH-CAA,Source.authority_refs,ai_context_inference,medium,active
DREL-110B94FDDCA38021,traces_to,SRC-ICAO9284,AUTH-ICAO,Source.authority_refs,ai_context_inference,medium,active
DREL-72F5CCD530255AC4,traces_to,SRC-IEC60598,AUTH-IEC,Source.authority_refs,ai_context_inference,medium,active
DREL-F9F3170CB953C707,validated_by,NEED-0001,VAL-0001,Need.validation_case_refs,ai_context_inference,medium,active
DREL-4152BF6672D3D610,validated_by,NEED-0002,VAL-0002,Need.validation_case_refs,ai_context_inference,medium,active
DREL-2A43F70E7460DD70,validates,VAL-0001,NEED-0001,ValidationCase.target_need_refs,ai_context_inference,low,active
DREL-9FD78B816BE86895,validates,VAL-0002,NEED-0002,ValidationCase.target_need_refs,ai_context_inference,low,active
DREL-5C283AC80A724C42,verifies,VER-0001,REQ-0001,VerificationCase.target_requirement_refs,ai_context_inference,medium,active
DREL-44BCB3722F29A243,verifies,VER-0002,REQ-0002,VerificationCase.target_requirement_refs,ai_context_inference,low,active
DREL-24EA040981E78D40,verifies,VER-0003,REQ-0003,VerificationCase.target_requirement_refs,ai_context_inference,low,active
DREL-FBF3928ADE9116DA,verifies,VER-0004,REQ-0004,VerificationCase.target_requirement_refs,ai_context_inference,low,active
