relation_id,relation_type,source_id,target_id,rationale,origin,confidence,validity_state
DREL-971EF2BCE0A7A77B,applies_to,AST-0001,CFG-0001,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-8DD807B0BE98F1BA,applies_to,AST-0002,CFG-0001,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-DD86F43B5739F0F9,applies_to,AST-0003,CFG-0001,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-1DA38896436622E3,derives_from,EPR-0001,OBL-0001,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-0681504CD1F04F03,derives_from,EPR-0002,OBL-0001,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-B7B0B221FAA0D8F4,derives_from,EPR-0003,OBL-0002,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-87D8E0EBA64D5E9E,derives_from,EPR-0004,OBL-0002,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-5D53DBC688A8C5E8,derives_from,EPR-0005,OBL-0003,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-498E5B268CE75E70,derives_from,EPR-0006,OBL-0003,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-6925A76E0D9F3682,derives_from,OBL-0001,NRM-0001,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-ECBBE88B5CFA137D,derives_from,OBL-0002,NRM-0002,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-00FA0DE582097C52,derives_from,OBL-0003,NRM-0003,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-F1F726E0C352CE4B,derives_from,REQ-0001,NEED-0002,Requirement.source_need_refs,ai_context_inference,low,active
DREL-33D572732A576FE1,derives_from,REQ-0002,NEED-0002,Requirement.source_need_refs,ai_context_inference,low,active
DREL-53773C05CC65E4DF,derives_from,REQ-0003,NEED-0003,Requirement.source_need_refs,ai_context_inference,low,active
DREL-DE22267BF8E5CAF2,performs,STR-0001,BEH-0001,Structure.behavior_refs,ai_context_inference,low,active
DREL-00CDA281A1DDC201,performs,STR-0001,BEH-0002,Structure.behavior_refs,ai_context_inference,low,active
DREL-32C8171030D42735,performs,STR-0001,BEH-0003,Structure.behavior_refs,ai_context_inference,low,active
DREL-D1E0BC327E6504E6,realizes,BEH-0002,REQ-0001,Behavior.requirement_refs,ai_context_inference,low,active
DREL-8BA77199972917F4,realizes,BEH-0003,REQ-0003,Behavior.requirement_refs,ai_context_inference,low,active
DREL-847B8C673939A357,satisfies,STR-0001,REQ-0001,Structure.requirement_refs,ai_context_inference,low,active
DREL-4C2D705F7A203253,satisfies,STR-0001,REQ-0003,Structure.requirement_refs,ai_context_inference,low,active
DREL-9DA101F5AE66DDA4,traces_to,APP-0001,NRM-0001,ApplicabilityAssessment.normative_statement_refs,ai_context_inference,low,active
DREL-EEEE7AB92564AD2E,traces_to,APP-0002,NRM-0002,ApplicabilityAssessment.normative_statement_refs,ai_context_inference,low,active
DREL-0203D521C18250EC,traces_to,APP-0003,NRM-0003,ApplicabilityAssessment.normative_statement_refs,ai_context_inference,low,active
DREL-59F3CFCD2740CFB4,traces_to,ASR-0001,AST-0001,AssessmentResult.assessment_activity_ref,ai_context_inference,medium,active
DREL-3F5B9DCECA08B8F4,traces_to,ASR-0002,AST-0002,AssessmentResult.assessment_activity_ref,ai_context_inference,medium,active
DREL-6348324310091A4C,traces_to,ASR-0003,AST-0003,AssessmentResult.assessment_activity_ref,ai_context_inference,medium,active
DREL-7E1F2ABA78CCB6B1,traces_to,AST-0001,EVR-0001,AssessmentActivity.planned_evidence_requirement_refs,ai_context_inference,low,active
DREL-969D4E9E59C7FB64,traces_to,AST-0001,OBL-0001,AssessmentActivity.target_obligation_refs,ai_context_inference,low,active
DREL-C5D9EF7E6352AF66,traces_to,AST-0002,EVR-0002,AssessmentActivity.planned_evidence_requirement_refs,ai_context_inference,low,active
DREL-8966969453D2405C,traces_to,AST-0002,OBL-0002,AssessmentActivity.target_obligation_refs,ai_context_inference,low,active
DREL-090708E1006D9115,traces_to,AST-0003,EVR-0003,AssessmentActivity.planned_evidence_requirement_refs,ai_context_inference,low,active
DREL-D288B2219FFF984B,traces_to,AST-0003,OBL-0003,AssessmentActivity.target_obligation_refs,ai_context_inference,low,active
DREL-4AEB6346DBBDD5B2,traces_to,EPR-0001,REQ-0001,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-1919AD70134F6AD6,traces_to,EPR-0002,EVR-0001,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-53F99ADB38BC2B10,traces_to,EPR-0003,REQ-0002,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-307FA6CA8CA3AB0A,traces_to,EPR-0004,EVR-0002,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-B7D60B6AAEFE7959,traces_to,EPR-0005,REQ-0003,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-B4E9CF98949B6762,traces_to,EPR-0006,EVR-0003,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-2B99190EBA436309,traces_to,EVR-0001,OBL-0001,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-6F18326C4155D4F8,traces_to,EVR-0001,REQ-0001,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-2C49D28033F63E75,traces_to,EVR-0002,OBL-0002,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-01D20F93D75A94A5,traces_to,EVR-0002,REQ-0002,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-085CA577AABA3DD8,traces_to,EVR-0003,OBL-0003,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-517849BFF5A0A46C,traces_to,EVR-0003,REQ-0003,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-A209B6F41F8944A8,traces_to,NRM-0001,PRV-0001,NormativeStatement.provision_refs,ai_context_inference,low,active
DREL-346809F59C808D8E,traces_to,NRM-0002,PRV-0002,NormativeStatement.provision_refs,ai_context_inference,low,active
DREL-E4E34D3003261A1D,traces_to,NRM-0003,PRV-0003,NormativeStatement.provision_refs,ai_context_inference,low,active
DREL-B755A72CADC01AF4,traces_to,OBL-0001,APP-0001,Obligation.applicability_refs,ai_context_inference,low,active
DREL-48A7C8F3014BBDDC,traces_to,OBL-0002,APP-0002,Obligation.applicability_refs,ai_context_inference,low,active
DREL-14C7A08FE1C16F13,traces_to,OBL-0003,APP-0003,Obligation.applicability_refs,ai_context_inference,low,active
DREL-FF8ECD97CA33564C,traces_to,PRV-0001,SRC-0001,Provision.source_ref,ai_context_inference,medium,active
DREL-B28BEE88082A84E7,traces_to,PRV-0002,SRC-0002,Provision.source_ref,ai_context_inference,medium,active
DREL-6617D63C3E1CA8FB,traces_to,PRV-0003,SRC-0003,Provision.source_ref,ai_context_inference,medium,active
DREL-4E14881D2E750BFB,traces_to,SRC-0001,AUTH-0001,Source.authority_refs,ai_context_inference,medium,active
DREL-82A0F7D3DFA0751D,traces_to,SRC-0002,AUTH-0002,Source.authority_refs,ai_context_inference,medium,active
DREL-219EC6301FB2BF32,traces_to,SRC-0003,AUTH-0003,Source.authority_refs,ai_context_inference,medium,active
DREL-F9F3170CB953C707,validated_by,NEED-0001,VAL-0001,Need.validation_case_refs,ai_context_inference,medium,active
DREL-4152BF6672D3D610,validated_by,NEED-0002,VAL-0002,Need.validation_case_refs,ai_context_inference,low,active
DREL-5F7AFF9967394C49,validated_by,NEED-0003,VAL-0003,Need.validation_case_refs,ai_context_inference,low,active
DREL-2A43F70E7460DD70,validates,VAL-0001,NEED-0001,ValidationCase.target_need_refs,ai_context_inference,low,active
DREL-9FD78B816BE86895,validates,VAL-0002,NEED-0002,ValidationCase.target_need_refs,ai_context_inference,low,active
DREL-6BA0703081E41D92,validates,VAL-0003,NEED-0003,ValidationCase.target_need_refs,ai_context_inference,low,active
DREL-5C283AC80A724C42,verifies,VER-0001,REQ-0001,VerificationCase.target_requirement_refs,ai_context_inference,low,active
DREL-44BCB3722F29A243,verifies,VER-0002,REQ-0002,VerificationCase.target_requirement_refs,ai_context_inference,low,active
DREL-24EA040981E78D40,verifies,VER-0003,REQ-0003,VerificationCase.target_requirement_refs,ai_context_inference,low,active
