relation_id,relation_type,source_id,target_id,rationale,origin,confidence,validity_state
DREL-A51489E4E9664F01,applies_to,AST-SF-PSE,CFG-SF-CONCEPT,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-D500FF1304D69FF6,applies_to,AST-SF-RADIO,CFG-SF-CONCEPT,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-10C67836717AEC64,derives_from,EPR-SF-AGING-DOC,OBL-SF-AGING,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-9835830345B34E74,derives_from,EPR-SF-AGING-EVIDENCE,OBL-SF-AGING,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-A4A263EA20A5FCFD,derives_from,EPR-SF-INSPECTION-DOC,OBL-SF-INSPECTION,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-98E88AA551790FD5,derives_from,EPR-SF-INSPECTION-EVIDENCE,OBL-SF-INSPECTION,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-CF9CE9AC5821D436,derives_from,EPR-SF-INSPECTION-PROCESS,OBL-SF-INSPECTION,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-2AC7D985A5694E2D,derives_from,EPR-SF-PSE-EVIDENCE,OBL-SF-PSE,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-2EFB2265E17E33EA,derives_from,EPR-SF-PSE-PROCESS,OBL-SF-PSE,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-D2767D4CB948BF25,derives_from,EPR-SF-RADIO-ASSURANCE,OBL-SF-RADIO,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-0CD1A85E4BEFAB0A,derives_from,EPR-SF-RADIO-EVIDENCE,OBL-SF-RADIO,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-B34D6FE8F8501CD8,derives_from,EPR-SF-RADIO-SUPPLIER,OBL-SF-RADIO,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-DCE690A9C2B74226,derives_from,EPR-SF-STABILITY-EVIDENCE,OBL-SF-STABILITY,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-EE3D2EFD2ED47646,derives_from,EPR-SF-STABILITY-PRODUCT,OBL-SF-STABILITY,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-8E82520CFD87469D,derives_from,OBL-SF-AGING,NRM-SF-AGING,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-AA7AA800FDCE7470,derives_from,OBL-SF-INSPECTION,NRM-SF-INSPECTION,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-CE954F7751B89FF7,derives_from,OBL-SF-PSE,NRM-SF-PSE,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-3FCBE8228A24A31E,derives_from,OBL-SF-RADIO,NRM-SF-RADIO,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-CCBB5E901EB1CBB6,derives_from,OBL-SF-STABILITY,NRM-SF-STABILITY,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-ED4FA234AE88A6AC,derives_from,REQ_SF-0001,NEED_SF-0001,Requirement.source_need_refs,ai_context_inference,medium,active
DREL-7EE7697621B489E1,derives_from,REQ_SF-0002,NEED_SF-0002,Requirement.source_need_refs,ai_context_inference,low,active
DREL-BAE12D2C3B119969,derives_from,REQ_SF-0003,NEED_SF-0003,Requirement.source_need_refs,ai_context_inference,low,active
DREL-48E444431042FA34,derives_from,REQ_SF-0004,NEED_SF-0004,Requirement.source_need_refs,user_explicit,high,active
DREL-5DC52E3CDE425313,derives_from,REQ_SF-0005,NEED_SF-0004,Requirement.source_need_refs,user_explicit,high,active
DREL-82072E6890138B63,derives_from,REQ_SF-0006,NEED_SF-0005,Requirement.source_need_refs,ai_context_inference,low,active
DREL-062BB4B41E72383B,derives_from,REQ_SF-0007,NEED_SF-0002,Requirement.source_need_refs,external_candidate,low,active
DREL-DE38F82E0D1D15D0,elicits,STK_SF-0001,NEED_SF-0001,Need.stakeholder_refs,ai_context_inference,medium,active
DREL-C7B04EDF01AE540F,elicits,STK_SF-0001,NEED_SF-0003,Need.stakeholder_refs,ai_context_inference,medium,active
DREL-CE6B0663C82181D2,elicits,STK_SF-0001,NEED_SF-0004,Need.stakeholder_refs,user_explicit,high,active
DREL-4665F3584A531826,elicits,STK_SF-0002,NEED_SF-0002,Need.stakeholder_refs,ai_context_inference,medium,active
DREL-12450F3CA1649BEB,elicits,STK_SF-0003,NEED_SF-0005,Need.stakeholder_refs,ai_context_inference,low,active
DREL-C8494A70E756883F,performs,STR_SF-0001,BEH_SF-0001,Structure.behavior_refs,ai_context_inference,medium,active
DREL-75C77FE279FEB06C,performs,STR_SF-0001,BEH_SF-0002,Structure.behavior_refs,ai_context_inference,medium,active
DREL-EF0DF26C9238073F,performs,STR_SF-0001,BEH_SF-0003,Structure.behavior_refs,ai_context_inference,medium,active
DREL-32BA25D05F528C77,realizes,BEH_SF-0001,REQ_SF-0001,Behavior.requirement_refs,ai_context_inference,medium,active
DREL-BCEB237A107C9F9A,realizes,BEH_SF-0001,REQ_SF-0003,Behavior.requirement_refs,ai_context_inference,medium,active
DREL-EF9670C69A7E4BEC,realizes,BEH_SF-0001,REQ_SF-0004,Behavior.requirement_refs,ai_context_inference,medium,active
DREL-8DC4F5459EFBBE91,realizes,BEH_SF-0001,REQ_SF-0005,Behavior.requirement_refs,ai_context_inference,medium,active
DREL-47752BFC7DFEF0AE,realizes,BEH_SF-0002,REQ_SF-0002,Behavior.requirement_refs,ai_context_inference,low,active
DREL-730D40A50E4C74EF,realizes,BEH_SF-0002,REQ_SF-0006,Behavior.requirement_refs,ai_context_inference,low,active
DREL-78ECAB26DB1AEA70,realizes,BEH_SF-0003,REQ_SF-0007,Behavior.requirement_refs,external_candidate,low,active
DREL-E01FE7B7F474A718,satisfies,STR_SF-0001,REQ_SF-0001,Structure.requirement_refs,ai_context_inference,medium,active
DREL-64B47FDDD3023442,satisfies,STR_SF-0001,REQ_SF-0002,Structure.requirement_refs,ai_context_inference,medium,active
DREL-D292E773CF28E9DE,satisfies,STR_SF-0001,REQ_SF-0003,Structure.requirement_refs,ai_context_inference,medium,active
DREL-909155CB06FACC92,satisfies,STR_SF-0001,REQ_SF-0004,Structure.requirement_refs,ai_context_inference,medium,active
DREL-2ADF31C03C1E7192,satisfies,STR_SF-0001,REQ_SF-0005,Structure.requirement_refs,ai_context_inference,medium,active
DREL-405AEC635D1B8C4D,satisfies,STR_SF-0001,REQ_SF-0006,Structure.requirement_refs,ai_context_inference,medium,active
DREL-55BCDB0B47F9C46E,satisfies,STR_SF-0001,REQ_SF-0007,Structure.requirement_refs,ai_context_inference,medium,active
DREL-928615D60A28AE62,traces_to,APP-SF-AGING,NRM-SF-AGING,ApplicabilityAssessment.normative_statement_refs,ai_context_inference,low,active
DREL-AD1EA85651464977,traces_to,APP-SF-INSPECTION,NRM-SF-INSPECTION,ApplicabilityAssessment.normative_statement_refs,ai_context_inference,low,active
DREL-EC71E1A090F83EF1,traces_to,APP-SF-PSE,NRM-SF-PSE,ApplicabilityAssessment.normative_statement_refs,ai_context_inference,low,active
DREL-A8867699EDA25D14,traces_to,APP-SF-RADIO,NRM-SF-RADIO,ApplicabilityAssessment.normative_statement_refs,ai_context_inference,low,active
