relation_id,relation_type,source_id,target_id,rationale,origin,confidence,validity_state
DREL-615D5A8D2F388B42,applies_to,AST-SF-001,CFG-SF-001,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-44092586AB26E5C2,applies_to,AST-SF-002,CFG-SF-001,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-CBFC0AF869708621,derives_from,EPR-SF-001,OBL-SF-001,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-8EEE876BF9188058,derives_from,EPR-SF-002,OBL-SF-001,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-14E4FAA1CB007530,derives_from,EPR-SF-003,OBL-SF-002,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-EB4C8EED5E2E2EAC,derives_from,EPR-SF-004,OBL-SF-002,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-61846E327B829665,derives_from,EPR-SF-005,OBL-SF-004,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-C72275A2BE5BAAD5,derives_from,EPR-SF-005,OBL-SF-005,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-87CF47CC3AF9C6EF,derives_from,EPR-SF-005,OBL-SF-006,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-AA828B38B4381F8A,derives_from,EPR-SF-006,OBL-SF-003,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-A23839136FDF1359,derives_from,EPR-SF-006,OBL-SF-004,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-5034861820B6D6B5,derives_from,EPR-SF-006,OBL-SF-005,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-2D139C9992418B5E,derives_from,EPR-SF-006,OBL-SF-006,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-114DFAEEA9FDF121,derives_from,EPR-SF-007,OBL-SF-003,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-EB78FA8DB98C1D28,derives_from,EPR-SF-007,OBL-SF-004,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-7DD77152837FD044,derives_from,EPR-SF-007,OBL-SF-005,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-22E92671D1EB5769,derives_from,EPR-SF-007,OBL-SF-006,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-506E15155BA07CE8,derives_from,OBL-SF-001,NRM-SF-001,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-6269A3E35808790C,derives_from,OBL-SF-002,NRM-SF-002,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-A25B6AE3D5665024,derives_from,OBL-SF-003,NRM-SF-003,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-0EBF06E78EEB882D,derives_from,OBL-SF-004,NRM-SF-004,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-EE2B76BC3C0BD8DD,derives_from,OBL-SF-005,NRM-SF-005,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-443B1B3301127369,derives_from,OBL-SF-006,NRM-SF-006,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-ED4FA234AE88A6AC,derives_from,REQ_SF-0001,NEED_SF-0001,Requirement.source_need_refs,ai_context_inference,medium,active
