relation_id,relation_type,source_id,target_id,rationale,origin,confidence,validity_state
DREL-971EF2BCE0A7A77B,applies_to,AST-0001,CFG-0001,AssessmentActivity.configuration_refs,ai_context_inference,low,active
DREL-1DA38896436622E3,derives_from,EPR-0001,OBL-0001,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-0681504CD1F04F03,derives_from,EPR-0002,OBL-0001,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-B7B0B221FAA0D8F4,derives_from,EPR-0003,OBL-0002,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-87D8E0EBA64D5E9E,derives_from,EPR-0004,OBL-0002,EngineeringProjection.obligation_refs,ai_context_inference,low,active
DREL-6925A76E0D9F3682,derives_from,OBL-0001,NRM-0001,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-ECBBE88B5CFA137D,derives_from,OBL-0002,NRM-0002,Obligation.normative_statement_refs,ai_context_inference,low,active
DREL-EC1215AE409509B5,derives_from,REQ-0001,NEED-0001,Requirement.source_need_refs,ai_context_inference,low,active
DREL-33D572732A576FE1,derives_from,REQ-0002,NEED-0002,Requirement.source_need_refs,user_explicit,high,active
DREL-53773C05CC65E4DF,derives_from,REQ-0003,NEED-0003,Requirement.source_need_refs,user_explicit,high,active
DREL-64D74BF97A8E4594,elicits,STK-0001,NEED-0001,Need.stakeholder_refs,user_explicit,high,active
DREL-75EB8491A52836A1,elicits,STK-0001,NEED-0002,Need.stakeholder_refs,user_explicit,high,active
DREL-890D80FEC288FF64,elicits,STK-0001,NEED-0003,Need.stakeholder_refs,user_explicit,high,active
DREL-DE22267BF8E5CAF2,performs,STR-0001,BEH-0001,Structure.behavior_refs,ai_context_inference,medium,active
DREL-00CDA281A1DDC201,performs,STR-0001,BEH-0002,Structure.behavior_refs,ai_context_inference,medium,active
DREL-32C8171030D42735,performs,STR-0001,BEH-0003,Structure.behavior_refs,ai_context_inference,medium,active
DREL-B3665DB230820FAF,realizes,BEH-0001,REQ-0001,Behavior.requirement_refs,user_explicit,high,active
DREL-05E39EE9815811AB,realizes,BEH-0002,REQ-0002,Behavior.requirement_refs,user_explicit,high,active
DREL-8BA77199972917F4,realizes,BEH-0003,REQ-0003,Behavior.requirement_refs,user_explicit,high,active
DREL-847B8C673939A357,satisfies,STR-0001,REQ-0001,Structure.requirement_refs,ai_context_inference,medium,active
DREL-482B42642C8F1707,satisfies,STR-0001,REQ-0002,Structure.requirement_refs,ai_context_inference,medium,active
DREL-4C2D705F7A203253,satisfies,STR-0001,REQ-0003,Structure.requirement_refs,ai_context_inference,medium,active
DREL-9DA101F5AE66DDA4,traces_to,APP-0001,NRM-0001,ApplicabilityAssessment.normative_statement_refs,ai_context_inference,low,active
DREL-EEEE7AB92564AD2E,traces_to,APP-0002,NRM-0002,ApplicabilityAssessment.normative_statement_refs,ai_context_inference,low,active
DREL-59F3CFCD2740CFB4,traces_to,ASR-0001,AST-0001,AssessmentResult.assessment_activity_ref,ai_context_inference,medium,active
DREL-7E1F2ABA78CCB6B1,traces_to,AST-0001,EVR-0001,AssessmentActivity.planned_evidence_requirement_refs,ai_context_inference,low,active
DREL-31BCF069097295B7,traces_to,AST-0001,EVR-0002,AssessmentActivity.planned_evidence_requirement_refs,ai_context_inference,low,active
DREL-969D4E9E59C7FB64,traces_to,AST-0001,OBL-0001,AssessmentActivity.target_obligation_refs,ai_context_inference,low,active
DREL-25C96059E8234AB8,traces_to,AST-0001,OBL-0002,AssessmentActivity.target_obligation_refs,ai_context_inference,low,active
DREL-4AEB6346DBBDD5B2,traces_to,EPR-0001,REQ-0001,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-1919AD70134F6AD6,traces_to,EPR-0002,EVR-0001,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-99321B4CC3F05252,traces_to,EPR-0003,PTR-0001,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-307FA6CA8CA3AB0A,traces_to,EPR-0004,EVR-0002,EngineeringProjection.target_refs,ai_context_inference,low,active
DREL-2B99190EBA436309,traces_to,EVR-0001,OBL-0001,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-6F18326C4155D4F8,traces_to,EVR-0001,REQ-0001,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-2C49D28033F63E75,traces_to,EVR-0002,OBL-0002,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-2CB788A1C786D768,traces_to,EVR-0002,PTR-0001,EvidenceRequirement.target_refs,ai_context_inference,low,active
DREL-A209B6F41F8944A8,traces_to,NRM-0001,PRV-0001,NormativeStatement.provision_refs,external_candidate,low,active
DREL-89870A1821B5F9D5,traces_to,NRM-0001,PRV-0002,NormativeStatement.provision_refs,external_candidate,low,active
DREL-8CE74D9E1A4B8BFB,traces_to,NRM-0001,PRV-0003,NormativeStatement.provision_refs,external_candidate,low,active
DREL-CC9CFC2306AC39EF,traces_to,NRM-0002,PRV-0004,NormativeStatement.provision_refs,external_candidate,medium,active
DREL-99227AB208C0CBF6,traces_to,NRM-0002,PRV-0005,NormativeStatement.provision_refs,external_candidate,medium,active
DREL-B755A72CADC01AF4,traces_to,OBL-0001,APP-0001,Obligation.applicability_refs,ai_context_inference,low,active
DREL-48A7C8F3014BBDDC,traces_to,OBL-0002,APP-0002,Obligation.applicability_refs,ai_context_inference,low,active
DREL-FF8ECD97CA33564C,traces_to,PRV-0001,SRC-0001,Provision.source_ref,ai_context_inference,medium,active
DREL-B28BEE88082A84E7,traces_to,PRV-0002,SRC-0002,Provision.source_ref,ai_context_inference,medium,active
DREL-6617D63C3E1CA8FB,traces_to,PRV-0003,SRC-0003,Provision.source_ref,ai_context_inference,medium,active
DREL-A15729E645BD46E5,traces_to,PRV-0004,SRC-0004,Provision.source_ref,ai_context_inference,medium,active
DREL-18F922C9BFA563DA,traces_to,PRV-0005,SRC-0005,Provision.source_ref,ai_context_inference,medium,active
DREL-9A05719BCF25039B,traces_to,PRV-0006,SRC-0006,Provision.source_ref,ai_context_inference,medium,active
DREL-4E14881D2E750BFB,traces_to,SRC-0001,AUTH-0001,Source.authority_refs,ai_context_inference,medium,active
DREL-3403A04EBF5D24ED,traces_to,SRC-0001,AUTH-0002,Source.authority_refs,ai_context_inference,medium,active
DREL-82A0F7D3DFA0751D,traces_to,SRC-0002,AUTH-0002,Source.authority_refs,ai_context_inference,medium,active
DREL-AF67671D4E12819C,traces_to,SRC-0003,AUTH-0002,Source.authority_refs,ai_context_inference,medium,active
DREL-445BDBD7DFB2FACE,traces_to,SRC-0004,AUTH-0001,Source.authority_refs,ai_context_inference,medium,active
DREL-84FC8A9032C43C1F,traces_to,SRC-0004,AUTH-0002,Source.authority_refs,ai_context_inference,medium,active
DREL-AA3BA5DECE6E6AC9,traces_to,SRC-0004,AUTH-0003,Source.authority_refs,ai_context_inference,medium,active
DREL-80705AB55D4B422A,traces_to,SRC-0005,AUTH-0003,Source.authority_refs,ai_context_inference,medium,active
DREL-17C941E598471982,traces_to,SRC-0006,AUTH-0002,Source.authority_refs,ai_context_inference,medium,active
DREL-C7AA1B2CD001E5AC,traces_to,SRC-0006,AUTH-0003,Source.authority_refs,ai_context_inference,medium,active
DREL-3B132DA6BF834E13,traces_to,SRC-0007,AUTH-0004,Source.authority_refs,ai_context_inference,medium,active
